age,fnlwgt,education-num,marital-status,sex,capital-gain,capital-loss,hours-per-week,income
50,171924,13,Married-civ-spouse,Male,0,0,43,>50K
47,133758,9,Divorced,Female,0,1974,40,<=50K
28,156819,9,Divorced,Female,0,0,36,<=50K
33,388741,10,Never-married,Female,0,0,38,<=50K
45,234652,3,Married-civ-spouse,Male,0,0,40,<=50K
23,235853,9,Married-civ-spouse,Male,0,0,40,<=50K
25,254781,13,Never-married,Female,0,0,40,<=50K
28,210867,7,Divorced,Male,0,0,40,<=50K
55,111625,9,Married-civ-spouse,Male,0,0,60,<=50K
46,270693,9,Never-married,Male,3674,0,30,<=50K
75,36325,9,Married-civ-spouse,Male,0,0,30,<=50K
55,28151,9,Divorced,Female,0,0,40,>50K
38,53628,11,Divorced,Male,0,0,35,<=50K
54,124865,10,Divorced,Female,0,0,35,<=50K
34,175878,9,Married-civ-spouse,Female,0,0,40,<=50K
32,32732,9,Married-civ-spouse,Male,0,0,50,<=50K
54,172281,14,Divorced,Male,0,0,40,>50K
39,175232,10,Married-civ-spouse,Male,0,0,50,<=50K
36,201769,7,Never-married,Male,13550,0,40,>50K
31,227886,10,Never-married,Female,0,0,35,<=50K
37,174912,9,Separated,Male,0,0,40,<=50K
27,335421,13,Never-married,Female,0,0,20,<=50K
21,177125,10,Never-married,Male,0,0,20,<=50K
26,205036,9,Never-married,Male,0,0,42,<=50K
46,28419,11,Never-married,Male,0,0,50,<=50K
70,243436,5,Divorced,Male,0,0,45,<=50K
51,124963,13,Married-civ-spouse,Male,0,0,40,>50K
67,141797,4,Married-civ-spouse,Male,0,0,40,<=50K
53,151580,11,Married-civ-spouse,Male,4386,0,40,>50K
70,304570,13,Widowed,Male,0,0,32,<=50K
50,198400,9,Married-civ-spouse,Male,0,0,60,<=50K
27,420351,9,Never-married,Male,0,0,40,<=50K
21,148211,9,Never-married,Male,3674,0,50,<=50K
42,70655,9,Divorced,Male,0,0,40,<=50K
31,301168,10,Never-married,Male,0,0,40,<=50K
46,342907,9,Married-civ-spouse,Male,0,0,60,>50K
68,195881,9,Married-civ-spouse,Male,2414,0,40,<=50K
26,403788,12,Never-married,Male,0,0,40,<=50K
19,121788,10,Never-married,Female,0,0,30,<=50K
57,180920,6,Married-civ-spouse,Male,0,0,43,<=50K
67,105907,2,Widowed,Female,0,0,20,<=50K
43,316183,4,Married-civ-spouse,Male,0,0,40,<=50K
17,221403,8,Never-married,Male,0,0,18,<=50K
29,53642,11,Married-civ-spouse,Male,0,0,40,<=50K
60,399387,4,Separated,Female,0,0,15,<=50K
47,586657,14,Married-civ-spouse,Male,0,0,40,>50K
36,279485,9,Never-married,Female,0,0,38,<=50K
33,202822,4,Never-married,Female,0,0,14,<=50K
42,126614,13,Divorced,Male,0,0,30,<=50K
31,139455,13,Never-married,Female,0,0,40,<=50K
40,29762,10,Married-civ-spouse,Male,0,0,60,<=50K
39,105813,9,Married-civ-spouse,Male,0,0,40,<=50K
31,77634,11,Married-civ-spouse,Male,0,0,42,<=50K
47,368561,10,Married-civ-spouse,Male,0,0,40,>50K
24,92609,13,Never-married,Male,0,0,45,<=50K
29,184710,9,Married-civ-spouse,Male,0,0,40,<=50K
34,144182,1,Never-married,Female,0,0,25,<=50K
46,147640,3,Married-civ-spouse,Male,0,1902,40,<=50K
22,190916,10,Never-married,Female,0,0,40,<=50K
45,172960,10,Divorced,Male,0,0,70,<=50K
43,336042,9,Separated,Male,0,0,40,<=50K
45,390368,10,Married-civ-spouse,Male,15024,0,99,>50K
55,98361,14,Married-civ-spouse,Male,15024,0,50,>50K
50,220640,14,Divorced,Female,0,0,50,>50K
33,207172,9,Never-married,Female,0,0,40,<=50K
18,283342,7,Never-married,Male,0,0,20,<=50K
55,139843,9,Divorced,Female,0,0,60,<=50K
51,410114,14,Married-civ-spouse,Male,0,0,40,>50K
36,247750,9,Married-civ-spouse,Male,0,0,45,<=50K
65,325089,6,Divorced,Male,0,0,40,<=50K
18,252046,9,Never-married,Female,0,0,30,<=50K
38,266325,13,Married-civ-spouse,Female,0,0,32,>50K
19,151506,9,Never-married,Female,0,0,30,<=50K
19,385901,10,Never-married,Male,0,0,22,<=50K
21,68358,10,Never-married,Female,0,0,20,<=50K
63,145212,9,Divorced,Female,0,0,40,<=50K
64,286732,4,Widowed,Female,0,0,40,<=50K
51,245873,10,Married-civ-spouse,Female,0,0,40,<=50K
57,173796,9,Married-civ-spouse,Male,0,1887,40,>50K
28,130856,6,Married-civ-spouse,Male,0,0,36,<=50K
31,159322,9,Never-married,Male,0,0,40,<=50K
43,413760,10,Separated,Male,0,0,40,<=50K
55,157486,14,Married-civ-spouse,Male,7298,0,40,>50K
39,112158,10,Married-civ-spouse,Male,0,0,26,<=50K
49,235683,10,Married-civ-spouse,Female,0,0,40,>50K
25,397962,9,Never-married,Female,0,0,40,<=50K
60,52152,14,Never-married,Male,0,0,50,<=50K
35,144937,9,Married-civ-spouse,Male,0,0,42,<=50K
35,79050,9,Never-married,Male,0,0,72,<=50K
34,260560,9,Never-married,Male,0,0,50,<=50K
35,589809,10,Never-married,Male,13550,0,60,>50K
52,294991,13,Married-civ-spouse,Male,0,0,40,>50K
30,292472,10,Married-civ-spouse,Male,0,0,55,>50K
29,189765,3,Married-civ-spouse,Female,0,0,40,<=50K
47,479611,13,Divorced,Male,0,0,50,<=50K
43,405374,10,Separated,Male,0,0,40,<=50K
55,143266,9,Divorced,Male,0,0,25,<=50K
