age,fnlwgt,education-num,marital-status,sex,capital-gain,capital-loss,hours-per-week,income
47,133758,9,Divorced,Female,0,1974,40,<=50K
28,156819,9,Divorced,Female,0,0,36,<=50K
33,388741,10,Never-married,Female,0,0,38,<=50K
25,254781,13,Never-married,Female,0,0,40,<=50K
55,28151,9,Divorced,Female,0,0,40,>50K
54,124865,10,Divorced,Female,0,0,35,<=50K
34,175878,9,Married-civ-spouse,Female,0,0,40,<=50K
31,227886,10,Never-married,Female,0,0,35,<=50K
27,335421,13,Never-married,Female,0,0,20,<=50K
19,121788,10,Never-married,Female,0,0,30,<=50K
67,105907,2,Widowed,Female,0,0,20,<=50K
60,399387,4,Separated,Female,0,0,15,<=50K
36,279485,9,Never-married,Female,0,0,38,<=50K
33,202822,4,Never-married,Female,0,0,14,<=50K
31,139455,13,Never-married,Female,0,0,40,<=50K
34,144182,1,Never-married,Female,0,0,25,<=50K
22,190916,10,Never-married,Female,0,0,40,<=50K
50,220640,14,Divorced,Female,0,0,50,>50K
33,207172,9,Never-married,Female,0,0,40,<=50K
55,139843,9,Divorced,Female,0,0,60,<=50K
18,252046,9,Never-married,Female,0,0,30,<=50K
38,266325,13,Married-civ-spouse,Female,0,0,32,>50K
19,151506,9,Never-married,Female,0,0,30,<=50K
21,68358,10,Never-married,Female,0,0,20,<=50K
63,145212,9,Divorced,Female,0,0,40,<=50K
64,286732,4,Widowed,Female,0,0,40,<=50K
51,245873,10,Married-civ-spouse,Female,0,0,40,<=50K
49,235683,10,Married-civ-spouse,Female,0,0,40,>50K
25,397962,9,Never-married,Female,0,0,40,<=50K
29,189765,3,Married-civ-spouse,Female,0,0,40,<=50K
35,310290,9,Married-civ-spouse,Female,0,0,40,<=50K
34,271933,14,Never-married,Female,0,0,50,<=50K
59,188003,13,Widowed,Female,0,0,50,>50K
29,251854,9,Never-married,Female,0,0,40,<=50K
28,33374,7,Married-spouse-absent,Female,0,0,35,<=50K
73,92886,6,Widowed,Female,0,0,40,<=50K
27,333990,11,Never-married,Female,0,0,40,<=50K
20,117789,10,Never-married,Female,0,0,40,<=50K
31,127610,13,Married-civ-spouse,Female,0,0,50,>50K
80,173488,10,Widowed,Female,0,0,20,<=50K
32,134886,9,Married-civ-spouse,Female,0,0,40,>50K
22,133833,10,Never-married,Female,0,0,25,<=50K
37,162494,13,Never-married,Female,0,0,40,<=50K
57,190942,2,Widowed,Female,0,0,30,<=50K
70,334666,9,Widowed,Female,0,0,12,<=50K
25,25386,11,Never-married,Female,0,0,40,<=50K
71,93202,9,Divorced,Female,0,0,16,<=50K
44,155701,4,Separated,Female,0,0,38,<=50K
24,179423,9,Never-married,Female,0,0,40,<=50K
47,331650,9,Married-civ-spouse,Female,0,0,8,>50K
20,234880,10,Never-married,Female,0,0,30,<=50K
25,394820,10,Separated,Female,0,0,20,<=50K
37,95855,7,Divorced,Female,0,0,40,<=50K
32,182714,9,Never-married,Female,0,0,45,<=50K
27,122922,13,Never-married,Female,0,0,40,<=50K
65,23580,13,Divorced,Female,0,0,40,<=50K
28,230743,12,Divorced,Female,0,0,40,<=50K
23,213719,12,Never-married,Female,0,0,36,<=50K
18,157131,8,Never-married,Female,0,0,8,<=50K
17,197732,7,Never-married,Female,0,0,12,<=50K
32,147215,13,Married-civ-spouse,Female,0,0,55,>50K
20,148509,9,Never-married,Female,0,0,40,<=50K
23,107578,13,Never-married,Female,2174,0,40,<=50K
