age,fnlwgt,education-num,marital-status,sex,capital-gain,capital-loss,hours-per-week,income
50,171924,13,Married-civ-spouse,Male,0,0,43,>50K
55,28151,9,Divorced,Female,0,0,40,>50K
54,172281,14,Divorced,Male,0,0,40,>50K
36,201769,7,Never-married,Male,13550,0,40,>50K
51,124963,13,Married-civ-spouse,Male,0,0,40,>50K
53,151580,11,Married-civ-spouse,Male,4386,0,40,>50K
46,342907,9,Married-civ-spouse,Male,0,0,60,>50K
47,586657,14,Married-civ-spouse,Male,0,0,40,>50K
47,368561,10,Married-civ-spouse,Male,0,0,40,>50K
45,390368,10,Married-civ-spouse,Male,15024,0,99,>50K
55,98361,14,Married-civ-spouse,Male,15024,0,50,>50K
50,220640,14,Divorced,Female,0,0,50,>50K
51,410114,14,Married-civ-spouse,Male,0,0,40,>50K
38,266325,13,Married-civ-spouse,Female,0,0,32,>50K
57,173796,9,Married-civ-spouse,Male,0,1887,40,>50K
55,157486,14,Married-civ-spouse,Male,7298,0,40,>50K
49,235683,10,Married-civ-spouse,Female,0,0,40,>50K
35,589809,10,Never-married,Male,13550,0,60,>50K
52,294991,13,Married-civ-spouse,Male,0,0,40,>50K
30,292472,10,Married-civ-spouse,Male,0,0,55,>50K
33,207201,9,Married-civ-spouse,Male,0,0,55,>50K
31,22201,9,Married-civ-spouse,Male,0,0,40,>50K
30,154950,13,Married-civ-spouse,Male,0,0,72,>50K
42,325353,12,Married-civ-spouse,Male,7688,0,42,>50K
50,307555,13,Divorced,Male,0,0,60,>50K
59,188003,13,Widowed,Female,0,0,50,>50K
49,102308,13,Married-civ-spouse,Male,0,0,42,>50K
31,226443,10,Married-civ-spouse,Male,0,0,55,>50K
31,199368,13,Married-civ-spouse,Male,0,0,50,>50K
62,68461,16,Married-civ-spouse,Male,0,0,40,>50K
45,103538,9,Married-civ-spouse,Male,0,0,40,>50K
42,148316,11,Married-civ-spouse,Male,0,0,40,>50K
43,345969,15,Married-civ-spouse,Male,0,0,50,>50K
44,212894,15,Divorced,Male,0,0,55,>50K
40,219266,9,Married-civ-spouse,Male,7688,0,50,>50K
31,127610,13,Married-civ-spouse,Female,0,0,50,>50K
32,134886,9,Married-civ-spouse,Female,0,0,40,>50K
40,193524,10,Married-civ-spouse,Male,0,0,40,>50K
25,368115,13,Never-married,Male,13550,0,35,>50K
58,198145,13,Married-civ-spouse,Male,0,0,35,>50K
47,268022,9,Married-civ-spouse,Male,0,0,55,>50K
44,175641,7,Married-civ-spouse,Male,0,0,40,>50K
34,170769,9,Married-civ-spouse,Male,0,0,50,>50K
49,423222,14,Married-civ-spouse,Male,99999,0,80,>50K
37,359001,11,Married-civ-spouse,Male,15024,0,50,>50K
46,216214,13,Married-civ-spouse,Male,0,0,35,>50K
44,209174,13,Married-civ-spouse,Male,0,0,70,>50K
47,331650,9,Married-civ-spouse,Female,0,0,8,>50K
46,175428,14,Married-civ-spouse,Male,0,0,40,>50K
51,237819,13,Married-civ-spouse,Male,0,0,50,>50K
63,272425,11,Married-civ-spouse,Male,0,0,40,>50K
63,180911,7,Married-civ-spouse,Male,4386,0,37,>50K
32,147215,13,Married-civ-spouse,Female,0,0,55,>50K
58,27385,9,Married-civ-spouse,Male,0,0,60,>50K
49,187454,9,Married-civ-spouse,Male,99999,0,65,>50K
36,180477,10,Married-civ-spouse,Male,0,0,50,>50K
40,78036,11,Married-civ-spouse,Female,0,0,65,>50K
54,127455,10,Married-civ-spouse,Male,0,0,48,>50K
45,149865,13,Married-civ-spouse,Male,0,0,60,>50K
46,164023,10,Married-civ-spouse,Male,0,0,70,>50K
35,178322,13,Married-civ-spouse,Male,0,0,40,>50K
58,205267,13,Married-civ-spouse,Female,0,0,40,>50K
43,116666,15,Married-civ-spouse,Male,0,0,35,>50K
41,37997,8,Divorced,Male,0,0,84,>50K
29,87905,9,Divorced,Male,10520,0,40,>50K
41,95047,11,Married-civ-spouse,Female,7688,0,44,>50K
46,189498,13,Married-civ-spouse,Male,0,1848,45,>50K
31,153005,13,Married-civ-spouse,Male,0,0,40,>50K
61,166124,9,Married-civ-spouse,Male,0,0,40,>50K
50,162327,13,Married-civ-spouse,Male,0,1902,50,>50K
44,278476,10,Married-civ-spouse,Male,0,0,60,>50K
54,223660,9,Married-civ-spouse,Male,0,0,55,>50K
64,205479,13,Married-civ-spouse,Male,0,0,50,>50K
56,273084,14,Married-civ-spouse,Male,0,0,40,>50K
35,360799,9,Married-civ-spouse,Male,7298,0,40,>50K
38,193961,10,Married-civ-spouse,Male,0,0,40,>50K
51,99185,12,Married-civ-spouse,Male,0,0,40,>50K
55,120970,6,Married-civ-spouse,Male,0,0,40,>50K
30,127651,9,Married-civ-spouse,Male,0,1887,48,>50K
42,198692,10,Married-civ-spouse,Male,0,0,45,>50K
29,155970,9,Married-civ-spouse,Male,0,0,40,>50K
50,176751,14,Divorced,Male,0,0,80,>50K
45,236040,10,Married-civ-spouse,Male,0,0,40,>50K
46,102388,15,Married-civ-spouse,Male,15024,0,45,>50K
39,153976,14,Married-civ-spouse,Male,0,0,40,>50K
48,326048,13,Married-civ-spouse,Male,0,0,44,>50K
50,229272,9,Married-civ-spouse,Male,0,0,40,>50K
62,195343,16,Divorced,Male,15020,0,50,>50K
42,279914,13,Married-civ-spouse,Male,0,0,40,>50K
48,165484,10,Married-civ-spouse,Male,0,0,65,>50K
44,145160,16,Married-civ-spouse,Male,0,0,40,>50K
37,116358,9,Never-married,Male,27828,0,48,>50K
26,186950,11,Married-civ-spouse,Female,0,0,40,>50K
38,414791,13,Married-civ-spouse,Male,0,0,42,>50K
46,90758,14,Never-married,Male,0,0,35,>50K
48,188432,9,Married-civ-spouse,Male,3103,0,46,>50K
35,250504,9,Married-civ-spouse,Male,0,0,60,>50K
41,145441,14,Married-civ-spouse,Male,0,0,50,>50K
61,539563,10,Married-civ-spouse,Male,0,0,45,>50K
30,111415,13,Married-civ-spouse,Male,0,0,45,>50K
37,30529,13,Married-civ-spouse,Male,0,2415,50,>50K
35,202950,9,Married-civ-spouse,Male,0,0,55,>50K
45,271901,9,Married-civ-spouse,Male,0,0,32,>50K
54,210736,9,Married-civ-spouse,Male,0,0,40,>50K
58,142924,14,Never-married,Female,0,0,24,>50K
44,361280,10,Married-civ-spouse,Male,0,0,80,>50K
40,146520,14,Married-civ-spouse,Male,0,0,40,>50K
50,164198,12,Married-civ-spouse,Male,15024,0,45,>50K
46,248895,13,Married-civ-spouse,Male,0,0,40,>50K
33,392812,13,Married-civ-spouse,Male,0,0,45,>50K
26,141838,13,Married-civ-spouse,Male,0,0,40,>50K
46,155489,9,Married-civ-spouse,Male,0,0,43,>50K
50,132716,10,Married-civ-spouse,Male,0,0,50,>50K
46,202560,9,Married-civ-spouse,Female,0,0,40,>50K
44,104892,10,Married-civ-spouse,Male,0,0,58,>50K
33,394447,14,Married-civ-spouse,Male,0,0,33,>50K
38,119741,14,Married-civ-spouse,Male,0,0,40,>50K
46,185385,9,Married-civ-spouse,Male,0,0,65,>50K
31,433788,10,Married-civ-spouse,Male,0,0,40,>50K
37,152307,10,Married-civ-spouse,Male,0,0,40,>50K
37,163998,12,Married-civ-spouse,Male,0,0,50,>50K
46,193047,9,Married-civ-spouse,Male,0,0,40,>50K
49,81654,15,Married-civ-spouse,Male,0,0,60,>50K
59,100313,9,Married-civ-spouse,Male,0,1887,40,>50K
43,191814,12,Married-civ-spouse,Male,7688,0,50,>50K
38,374524,13,Married-civ-spouse,Male,0,0,40,>50K
39,176335,14,Married-civ-spouse,Male,7688,0,65,>50K
33,267859,10,Married-civ-spouse,Male,0,0,40,>50K
73,336007,13,Married-civ-spouse,Male,0,2246,40,>50K
59,75804,9,Married-civ-spouse,Male,0,0,65,>50K
59,176647,9,Married-civ-spouse,Male,0,0,40,>50K
37,251396,12,Married-civ-spouse,Male,0,0,65,>50K
33,176992,10,Married-civ-spouse,Male,0,0,40,>50K
45,121124,15,Never-married,Male,0,0,50,>50K
31,502752,13,Married-civ-spouse,Female,0,0,40,>50K
44,68729,10,Married-civ-spouse,Male,0,1902,40,>50K
62,159908,10,Married-civ-spouse,Female,0,0,38,>50K
49,87928,9,Married-civ-spouse,Male,0,0,40,>50K
56,295067,13,Never-married,Male,14084,0,45,>50K
43,190786,9,Married-civ-spouse,Male,0,0,40,>50K
48,123075,14,Married-civ-spouse,Male,0,0,35,>50K
36,193026,13,Married-civ-spouse,Male,0,0,40,>50K
33,164190,11,Married-civ-spouse,Male,7298,0,40,>50K
52,326156,10,Divorced,Male,0,0,40,>50K
28,201186,9,Married-civ-spouse,Male,99999,0,40,>50K
31,227146,13,Married-civ-spouse,Male,0,0,55,>50K
24,188505,13,Married-AF-spouse,Female,0,0,40,>50K
35,105803,10,Married-civ-spouse,Male,0,0,50,>50K
49,358668,16,Married-civ-spouse,Male,0,0,45,>50K
41,32185,14,Married-civ-spouse,Male,0,0,40,>50K
60,127805,4,Married-civ-spouse,Male,0,0,40,>50K
35,160120,13,Married-civ-spouse,Male,0,0,40,>50K
34,117963,15,Married-civ-spouse,Male,0,0,50,>50K
47,148171,16,Divorced,Male,0,0,50,>50K
47,191978,10,Married-civ-spouse,Male,0,0,40,>50K
40,347890,13,Married-civ-spouse,Male,0,0,40,>50K
44,185798,11,Separated,Male,0,0,48,>50K
36,409189,10,Married-civ-spouse,Male,0,0,40,>50K
51,311350,13,Married-civ-spouse,Male,0,0,40,>50K
59,114760,10,Married-civ-spouse,Male,0,0,20,>50K
34,340940,13,Married-civ-spouse,Male,7298,0,60,>50K
38,180303,13,Married-civ-spouse,Male,0,0,50,>50K
63,310396,5,Married-civ-spouse,Male,5178,0,40,>50K
44,171424,13,Married-civ-spouse,Male,0,0,40,>50K
37,134367,13,Married-civ-spouse,Female,0,0,37,>50K
32,116508,10,Married-civ-spouse,Male,0,0,50,>50K
34,93886,13,Married-civ-spouse,Female,0,0,46,>50K
36,261241,9,Married-civ-spouse,Male,0,0,50,>50K
52,386397,13,Married-civ-spouse,Male,0,0,45,>50K
26,210714,9,Married-civ-spouse,Male,0,0,52,>50K
41,156566,10,Married-civ-spouse,Male,0,0,40,>50K
39,140752,9,Married-civ-spouse,Male,0,0,50,>50K
50,176227,13,Married-civ-spouse,Male,0,0,40,>50K
30,29662,12,Married-civ-spouse,Female,0,0,25,>50K
46,369538,6,Married-civ-spouse,Male,0,0,40,>50K
54,230951,13,Married-civ-spouse,Male,0,0,40,>50K
45,368561,9,Married-civ-spouse,Male,0,0,55,>50K
