age,fnlwgt,education-num,marital-status,sex,capital-gain,capital-loss,hours-per-week,income
50,171924,13,Married-civ-spouse,Male,0,0,43,>50K
45,234652,3,Married-civ-spouse,Male,0,0,40,<=50K
23,235853,9,Married-civ-spouse,Male,0,0,40,<=50K
28,210867,7,Divorced,Male,0,0,40,<=50K
55,111625,9,Married-civ-spouse,Male,0,0,60,<=50K
46,270693,9,Never-married,Male,3674,0,30,<=50K
75,36325,9,Married-civ-spouse,Male,0,0,30,<=50K
38,53628,11,Divorced,Male,0,0,35,<=50K
32,32732,9,Married-civ-spouse,Male,0,0,50,<=50K
54,172281,14,Divorced,Male,0,0,40,>50K
39,175232,10,Married-civ-spouse,Male,0,0,50,<=50K
36,201769,7,Never-married,Male,13550,0,40,>50K
37,174912,9,Separated,Male,0,0,40,<=50K
21,177125,10,Never-married,Male,0,0,20,<=50K
26,205036,9,Never-married,Male,0,0,42,<=50K
46,28419,11,Never-married,Male,0,0,50,<=50K
70,243436,5,Divorced,Male,0,0,45,<=50K
51,124963,13,Married-civ-spouse,Male,0,0,40,>50K
67,141797,4,Married-civ-spouse,Male,0,0,40,<=50K
53,151580,11,Married-civ-spouse,Male,4386,0,40,>50K
70,304570,13,Widowed,Male,0,0,32,<=50K
50,198400,9,Married-civ-spouse,Male,0,0,60,<=50K
27,420351,9,Never-married,Male,0,0,40,<=50K
21,148211,9,Never-married,Male,3674,0,50,<=50K
42,70655,9,Divorced,Male,0,0,40,<=50K
31,301168,10,Never-married,Male,0,0,40,<=50K
46,342907,9,Married-civ-spouse,Male,0,0,60,>50K
68,195881,9,Married-civ-spouse,Male,2414,0,40,<=50K
26,403788,12,Never-married,Male,0,0,40,<=50K
57,180920,6,Married-civ-spouse,Male,0,0,43,<=50K
43,316183,4,Married-civ-spouse,Male,0,0,40,<=50K
17,221403,8,Never-married,Male,0,0,18,<=50K
29,53642,11,Married-civ-spouse,Male,0,0,40,<=50K
47,586657,14,Married-civ-spouse,Male,0,0,40,>50K
42,126614,13,Divorced,Male,0,0,30,<=50K
40,29762,10,Married-civ-spouse,Male,0,0,60,<=50K
39,105813,9,Married-civ-spouse,Male,0,0,40,<=50K
31,77634,11,Married-civ-spouse,Male,0,0,42,<=50K
47,368561,10,Married-civ-spouse,Male,0,0,40,>50K
24,92609,13,Never-married,Male,0,0,45,<=50K
29,184710,9,Married-civ-spouse,Male,0,0,40,<=50K
46,147640,3,Married-civ-spouse,Male,0,1902,40,<=50K
45,172960,10,Divorced,Male,0,0,70,<=50K
43,336042,9,Separated,Male,0,0,40,<=50K
45,390368,10,Married-civ-spouse,Male,15024,0,99,>50K
55,98361,14,Married-civ-spouse,Male,15024,0,50,>50K
18,283342,7,Never-married,Male,0,0,20,<=50K
