age,fnlwgt,education-num,marital-status,sex,capital-gain,capital-loss,hours-per-week,income
32,80058,7,Divorced,Male,0,0,43,>50K
27,200641,6,Married-civ-spouse,Female,0,0,40,<=50K
33,182926,13,Married-civ-spouse,Male,15024,0,50,>50K
47,454989,9,Married-civ-spouse,Female,0,0,40,>50K
33,348592,9,Never-married,Male,0,0,40,>50K
49,298445,15,Married-civ-spouse,Female,0,1977,60,>50K
58,137506,9,Married-civ-spouse,Male,0,0,40,<=50K
54,123374,4,Married-civ-spouse,Male,0,0,40,<=50K
40,205987,15,Never-married,Female,0,0,40,<=50K
38,682947,13,Divorced,Male,0,0,55,>50K
37,100508,9,Married-civ-spouse,Male,0,0,40,>50K
51,129525,9,Never-married,Male,0,0,40,<=50K
40,141245,13,Married-civ-spouse,Female,0,0,40,<=50K
31,156743,14,Married-civ-spouse,Male,0,0,76,>50K
53,174102,4,Married-civ-spouse,Male,4386,0,50,>50K
37,545483,12,Married-civ-spouse,Male,0,0,40,<=50K
44,98989,13,Married-civ-spouse,Male,0,0,38,>50K
25,36984,13,Never-married,Female,0,0,50,<=50K
23,496382,10,Married-spouse-absent,Female,0,0,40,<=50K
25,512771,5,Married-civ-spouse,Male,0,0,45,<=50K
33,319422,10,Married-civ-spouse,Male,0,0,60,<=50K
39,249720,13,Divorced,Female,0,0,60,<=50K
24,55424,13,Never-married,Male,0,0,40,<=50K
39,154641,9,Divorced,Male,8614,0,50,>50K
39,187167,10,Divorced,Female,0,0,40,<=50K
27,44767,9,Married-civ-spouse,Male,0,0,40,<=50K
52,113094,13,Separated,Female,0,1092,40,<=50K
21,188923,10,Never-married,Female,0,0,55,<=50K
52,192390,9,Married-civ-spouse,Male,0,0,40,>50K
45,213646,13,Married-civ-spouse,Male,7298,0,40,>50K
34,321709,12,Never-married,Female,0,0,25,<=50K
22,147397,13,Never-married,Male,0,0,20,<=50K
28,472580,10,Never-married,Male,0,0,40,<=50K
52,77392,9,Married-civ-spouse,Male,0,0,60,<=50K
38,357962,5,Divorced,Male,0,0,40,<=50K
31,446358,16,Never-married,Male,0,0,50,>50K
36,166304,9,Married-civ-spouse,Male,0,0,33,<=50K
46,271828,9,Married-civ-spouse,Male,0,0,40,>50K
22,189203,13,Never-married,Male,0,0,50,<=50K
40,125206,15,Married-civ-spouse,Male,0,0,40,<=50K
50,163948,9,Married-civ-spouse,Male,0,0,40,>50K
30,96851,10,Never-married,Female,0,1719,25,<=50K
48,119199,13,Divorced,Female,0,0,44,<=50K
37,77820,13,Married-civ-spouse,Male,0,0,45,>50K
29,271579,6,Never-married,Male,0,0,40,<=50K
20,289944,10,Never-married,Female,0,0,20,<=50K
35,238802,9,Married-civ-spouse,Male,0,0,50,<=50K
28,190836,9,Married-civ-spouse,Male,3411,0,40,<=50K
22,271274,7,Never-married,Female,0,0,40,<=50K
34,261418,9,Married-civ-spouse,Male,0,0,40,<=50K
23,636017,10,Never-married,Male,0,0,40,<=50K
36,437890,9,Never-married,Male,0,0,90,<=50K
55,217802,10,Married-civ-spouse,Male,0,0,25,<=50K
58,97634,3,Married-civ-spouse,Male,0,0,40,<=50K
53,147476,9,Divorced,Female,0,0,40,<=50K
20,109952,9,Married-civ-spouse,Male,0,0,40,<=50K
23,77581,13,Never-married,Male,0,0,40,<=50K
51,224763,4,Married-civ-spouse,Male,0,0,40,<=50K
61,101602,16,Married-civ-spouse,Male,0,0,25,>50K
40,36885,10,Never-married,Female,0,0,50,<=50K
23,32950,10,Never-married,Male,4101,0,40,<=50K
44,186916,10,Married-civ-spouse,Male,0,1887,60,>50K
19,170720,9,Never-married,Male,0,0,20,<=50K
41,175642,10,Never-married,Female,0,0,40,<=50K
35,465507,9,Married-civ-spouse,Male,0,0,40,<=50K
37,81853,9,Divorced,Female,0,0,40,<=50K
39,174330,10,Married-civ-spouse,Male,0,0,40,<=50K
47,148724,9,Married-civ-spouse,Male,0,0,40,<=50K
38,184456,9,Married-civ-spouse,Male,3464,0,80,<=50K
17,99161,6,Never-married,Male,0,0,8,<=50K
27,431637,15,Never-married,Male,0,0,70,<=50K
49,196571,13,Married-civ-spouse,Male,0,0,45,>50K
33,178449,10,Never-married,Male,0,0,49,<=50K
19,281704,10,Never-married,Male,0,0,35,<=50K
40,198096,9,Married-civ-spouse,Male,0,0,40,>50K
53,205288,9,Married-civ-spouse,Female,7688,0,35,>50K
48,318331,9,Never-married,Male,0,0,40,<=50K
58,312131,14,Married-civ-spouse,Male,0,0,40,<=50K
47,187969,7,Divorced,Female,0,0,38,<=50K
24,267843,13,Never-married,Female,0,0,35,<=50K
38,281768,4,Divorced,Female,0,0,30,<=50K
44,116391,13,Never-married,Male,0,0,40,<=50K
33,292217,9,Divorced,Male,0,0,40,<=50K
44,188331,10,Divorced,Female,0,0,42,<=50K
26,380674,9,Never-married,Male,0,0,52,<=50K
51,357949,13,Divorced,Female,0,0,16,<=50K
44,184378,11,Married-civ-spouse,Male,0,0,40,<=50K
40,239708,9,Divorced,Male,0,0,50,<=50K
41,212894,3,Married-civ-spouse,Male,0,0,40,<=50K
66,169804,13,Married-civ-spouse,Male,20051,0,40,>50K
24,427686,2,Married-civ-spouse,Male,0,0,40,<=50K
34,92682,9,Never-married,Female,4865,0,40,<=50K
25,90291,13,Never-married,Male,0,0,40,<=50K
49,169711,11,Married-civ-spouse,Male,0,0,40,>50K
40,33310,15,Divorced,Female,0,2339,35,<=50K
63,268965,8,Widowed,Female,0,0,40,<=50K
39,168894,13,Divorced,Female,0,0,20,<=50K
43,125461,13,Married-civ-spouse,Male,0,0,65,>50K
28,181659,7,Never-married,Male,0,0,50,<=50K
26,354784,10,Never-married,Male,0,0,20,<=50K
55,183580,10,Married-civ-spouse,Male,0,0,38,<=50K
34,189843,9,Married-civ-spouse,Male,0,0,40,<=50K
23,220993,9,Never-married,Male,0,1590,48,<=50K
34,143699,9,Married-civ-spouse,Female,0,0,15,<=50K
61,159046,4,Married-civ-spouse,Male,0,0,40,<=50K
50,226735,10,Married-civ-spouse,Male,0,0,70,>50K
49,123088,10,Married-civ-spouse,Male,0,0,46,<=50K
59,102442,13,Married-civ-spouse,Female,0,0,45,>50K
35,287701,12,Divorced,Male,0,0,45,>50K
59,96459,4,Married-civ-spouse,Male,0,0,40,<=50K
30,196385,10,Married-civ-spouse,Male,0,0,45,>50K
25,99076,13,Never-married,Female,2597,0,50,<=50K
23,203715,9,Never-married,Male,0,0,40,<=50K
19,259352,9,Never-married,Male,0,0,45,<=50K
47,77102,14,Divorced,Male,0,0,40,<=50K
28,210945,12,Married-civ-spouse,Female,0,0,35,<=50K
